order_id;Date_and_time_of_unloading;Product_code;Amount;Sale_amount;Discount_amount;Profit;Percentage_markup;Discount_percentage
61;01.01.2020 23:00:00;1794;1;314,82;135,18;64,82;25,93;30,04
62;01.01.2020 23:00:00;1796;1;292,5;157,5;39,5;15,61;35
63;01.01.2020 23:00:00;1798;1;500,5;269,5;58,5;13,24;35
64;01.01.2020 23:00:00;1803;3;824,95;15,05;419,95;103,69;1,79
65;01.01.2020 23:00:00;1804;1;280;;145;107,41;
66;01.01.2020 23:00:00;1806;1;195,89;84,11;60,89;45,1;30,04
67;01.01.2020 23:00:00;1807;4;838,07;281,93;318,07;61,17;25,17
68;02.01.2020 01:00:00;144;2;500;60;250;100;10,71
69;02.01.2020 01:00:00;247;1;580;;247;74,17;
70;02.01.2020 01:00:00;283;1;295;35;134;83,23;10,61
71;02.01.2020 01:00:00;298;1;160;20;70,32;78,41;11,11
72;02.01.2020 01:00:00;299;1;125;55;35,32;39,38;30,56
73;02.01.2020 01:00:00;364;2;629,9;70,1;359,9;133,3;10,01
74;02.01.2020 01:00:00;380;1;300;;150;100;
75;02.01.2020 01:00:00;457;3;956,2;33,8;419,2;78,06;3,41
76;02.01.2020 01:00:00;479;1;270;30;120,14;80,17;10
77;02.01.2020 01:00:00;481;1;300;;161,94;117,3;
78;02.01.2020 01:00:00;495;0,5;251,5;108,5;31,5;14,32;30,14
79;02.01.2020 01:00:00;519;1;200;;200;;
80;02.01.2020 01:00:00;564;0,25;120;;63,95;114,09;
81;02.01.2020 01:00:00;566;4;835;45;384,24;85,24;5,11
82;02.01.2020 01:00:00;653;5;1385;115;645;87,16;7,67
83;02.01.2020 01:00:00;816;1;315;35;148;88,62;10
84;02.01.2020 01:00:00;839;1;195;25;51;35,42;11,36
85;02.01.2020 01:00:00;898;1;279,9;70,1;279,9;;20,03
86;02.01.2020 01:00:00;1030;1;159,94;40,06;61,94;63,2;20,03
87;02.01.2020 01:00:00;1032;5;927,18;72,82;377,18;68,58;7,28
88;02.01.2020 01:00:00;1145;0,5;230;30;105;84;11,54
89;02.01.2020 01:00:00;1205;0,75;392;28;247,83;171,9;6,67
90;02.01.2020 01:00:00;1213;0,25;169,84;10,16;91,09;115,67;5,64
91;02.01.2020 01:00:00;1326;0,25;140;40;53,75;62,32;22,22
92;02.01.2020 01:00:00;1362;0,55;600;60;220,5;58,1;9,09
93;02.01.2020 01:00:00;1434;3,75;1491,16;168,84;786,16;111,51;10,17
94;02.01.2020 01:00:00;1450;0,5;414,21;25,79;189,21;84,09;5,86
95;02.01.2020 01:00:00;1561;0,5;250;30;133,35;114,32;10,71
96;02.01.2020 01:00:00;1594;3;1739,28;60,72;929,28;114,73;3,37
97;02.01.2020 01:00:00;1726;2;628,16;71,84;242,16;62,74;10,26
98;02.01.2020 01:00:00;1733;1,75;950;30;613,12;182;3,06
99;02.01.2020 01:00:00;1745;1;180;;105,07;140,22;
100;02.01.2020 01:00:00;1757;1;265,47;114,53;66,38;33,34;30,14
101;02.01.2020 01:00:00;1772;0,5;329,63;110,37;99,01;42,93;25,08
102;02.01.2020 01:00:00;1775;1,5;1125,12;314,88;326,82;40,94;21,87
103;02.01.2020 01:00:00;1779;1,25;879,7;220,3;303,14;52,58;20,03
104;02.01.2020 01:00:00;1781;0,75;590;70;244,07;70,55;10,61
105;02.01.2020 01:00:00;1782;0,5;400;;197,78;97,8;
106;02.01.2020 01:00:00;1784;1,25;855,57;244,43;279,01;48,39;22,22
107;02.01.2020 01:00:00;1786;4;3109,19;730,81;980,39;46,05;19,03
108;02.01.2020 01:00:00;1797;2;700;240;156;28,68;25,53
109;02.01.2020 01:00:00;1798;1;690;80;248;56,11;10,39
110;02.01.2020 01:00:00;1807;4;971,05;148,95;451,05;86,74;13,3
111;03.01.2020 01:00:00;99;1;317,95;82,05;52,95;19,98;20,51
112;03.01.2020 01:00:00;129;8;2518,76;281,24;1086,76;75,89;10,04
113;03.01.2020 01:00:00;140;1;224,21;25,79;99,21;79,37;10,32
114;03.01.2020 01:00:00;141;1;333;37;118;54,88;10
115;03.01.2020 01:00:00;144;1;252;28;127;101,6;10
116;03.01.2020 01:00:00;159;1;405;45;161;65,98;10
117;03.01.2020 01:00:00;213;1;520;130;214;69,93;20
118;03.01.2020 01:00:00;257;1;330;;177;115,69;
119;03.01.2020 01:00:00;270;3;957,56;152,44;264,56;38,18;13,73
120;03.01.2020 01:00:00;285;3;920;190;209,2;29,43;17,12
121;03.01.2020 01:00:00;296;5;882;18;412,95;88,04;2
122;03.01.2020 01:00:00;298;7;1260;;632,24;100,71;
123;03.01.2020 01:00:00;299;3;520;20;250,96;93,28;3,7
124;03.01.2020 01:00:00;364;4;1188,44;211,56;648,44;120,08;15,11
125;03.01.2020 01:00:00;380;1;300;;150;100;
126;03.01.2020 01:00:00;472;1;240;60;94,86;65,36;20
127;03.01.2020 01:00:00;474;1;280;70;93,56;50,18;20
128;03.01.2020 01:00:00;476;2;540;60;235,56;77,37;10
129;03.01.2020 01:00:00;479;1;270;30;120,14;80,17;10
130;03.01.2020 01:00:00;481;6;1470;330;641,64;77,46;18,33
131;03.01.2020 01:00:00;490;6,75;4934,4;195,6;2736,06;124,46;3,81
132;03.01.2020 01:00:00;495;8,25;5342,22;597,78;1712,22;47,17;10,06
133;03.01.2020 01:00:00;519;2;379,17;20,83;379,17;;5,21
134;03.01.2020 01:00:00;564;4;1865;55;968,2;107,96;2,86
135;03.01.2020 01:00:00;565;1;198;22;77,05;63,7;10
136;03.01.2020 01:00:00;566;3;660;;321,93;95,23;
137;03.01.2020 01:00:00;591;2;284,37;15,63;179,37;170,83;5,21
138;03.01.2020 01:00:00;646;6;1508,5;171,5;653,5;76,43;10,21
139;03.01.2020 01:00:00;653;1;300;;152;102,7;
140;03.01.2020 01:00:00;661;1;295;75;108;57,75;20,27
141;03.01.2020 01:00:00;663;1;295;75;108;57,75;20,27
142;03.01.2020 01:00:00;688;1;243;27;120,28;98,01;10
143;03.01.2020 01:00:00;706;6;960;;439,62;84,48;
144;03.01.2020 01:00:00;717;5;1225;25;1225;;2
145;03.01.2020 01:00:00;817;1;187,17;22,83;87,17;87,17;10,87
146;03.01.2020 01:00:00;836;1;250;;135;117,39;
147;03.01.2020 01:00:00;843;1;198;22;73;58,4;10
148;03.01.2020 01:00:00;899;2;594,3;105,7;594,3;;15,1
149;03.01.2020 01:00:00;965;1;225;25;110;95,65;10
150;03.01.2020 01:00:00;1019;2,75;1900;80;1033,75;119,34;4,04
151;03.01.2020 01:00:00;1030;1;159,89;40,11;61,89;63,15;20,06
152;03.01.2020 01:00:00;1032;4;658,15;141,85;218,15;49,58;17,73
153;03.01.2020 01:00:00;1071;1;420;;184;77,97;
154;03.01.2020 01:00:00;1145;3,75;1588,08;361,92;650,58;69,4;18,56
155;03.01.2020 01:00:00;1192;1;585;65;175;42,68;10
156;03.01.2020 01:00:00;1205;5,25;2616,53;323,47;1607,33;159,27;11
157;03.01.2020 01:00:00;1213;4;2535;345;1275;101,19;11,98
158;03.01.2020 01:00:00;1238;3;672,83;77,17;327,83;95,02;10,29
159;03.01.2020 01:00:00;1250;1;270;;152;128,81;
160;03.01.2020 01:00:00;1326;2,25;1409,34;210,66;633,09;81,56;13
161;03.01.2020 01:00:00;1392;1;405;45;150;58,82;10
162;03.01.2020 01:00:00;1394;1;340,79;39,21;127,79;60;10,32
163;03.01.2020 01:00:00;1434;3,75;1459,12;220,88;754,12;106,97;13,15
164;03.01.2020 01:00:00;1450;0,25;195;25;82,5;73,33;11,36
165;03.01.2020 01:00:00;1468;6;1200;120;228;23,46;9,09
166;03.01.2020 01:00:00;1470;1;239,61;60,39;77,61;47,91;20,13
167;03.01.2020 01:00:00;1494;1;260;;125;92,59;
168;03.01.2020 01:00:00;1498;1;189;21;89;89;10
169;03.01.2020 01:00:00;1509;1;222,5;57,5;95,83;75,65;20,54
170;03.01.2020 01:00:00;1561;0,25;110;30;51,67;88,58;21,43
171;03.01.2020 01:00:00;1562;1;295;55;95;47,5;15,71
172;03.01.2020 01:00:00;1565;1;450;50;191;73,75;10
173;03.01.2020 01:00:00;1581;1;560;140;153,39;37,72;20
174;03.01.2020 01:00:00;1588;1;260;70;95;57,58;21,21
175;03.01.2020 01:00:00;1590;3;965;115;377;64,12;10,65
176;03.01.2020 01:00:00;1594;1,25;705;45;367,5;108,89;6
177;03.01.2020 01:00:00;1620;1;280;;140;100;
178;03.01.2020 01:00:00;1640;1;300;;175;140;
179;03.01.2020 01:00:00;1661;1;334,86;85,14;114,86;52,21;20,27
180;03.01.2020 01:00:00;1701;1;390;;165;73,33;
181;03.01.2020 01:00:00;1718;1;255,14;64,86;95,14;59,46;20,27
182;03.01.2020 01:00:00;1733;2;960,73;159,27;575,74;149,55;14,22
183;03.01.2020 01:00:00;1746;9;1502,83;117,17;658,54;78;7,23
184;03.01.2020 01:00:00;1747;3;750;90;295,11;64,88;10,71
185;03.01.2020 01:00:00;1757;3;908,87;231,13;311,6;52,17;20,27
186;03.01.2020 01:00:00;1772;1;835;45;373,75;81,03;5,11
187;03.01.2020 01:00:00;1775;0,75;670;50;270,85;67,86;6,94
188;03.01.2020 01:00:00;1776;4;1116,73;203,27;500,73;81,29;15,4
189;03.01.2020 01:00:00;1779;2,5;1800,29;399,71;647,16;56,12;18,17
190;03.01.2020 01:00:00;1781;1,25;1050;50;473,43;82,11;4,55
191;03.01.2020 01:00:00;1782;0,75;600;;296,66;97,8;
192;03.01.2020 01:00:00;1783;2;592,94;107,06;238,94;67,5;15,29
193;03.01.2020 01:00:00;1784;0,75;635;25;289,06;83,56;3,79
194;03.01.2020 01:00:00;1786;1;911,53;48,47;379,33;71,28;5,05
195;03.01.2020 01:00:00;1789;1;810;70;348,75;75,61;7,95
196;03.01.2020 01:00:00;1797;2;703,55;236,45;159,55;29,33;25,15
197;03.01.2020 01:00:00;1803;1;250;30;115;85,19;10,71
198;03.01.2020 01:00:00;1805;1;250;30;115;85,19;10,71
199;03.01.2020 01:00:00;1806;2;446,74;113,26;176,74;65,46;20,23
200;03.01.2020 01:00:00;1807;4;886,9;233,1;366,9;70,56;20,81
201;04.01.2020 16:00:00;140;3;697,67;52,33;322,67;86,05;6,98
202;04.01.2020 16:00:00;141;1;370;;155;72,09;
203;04.01.2020 16:00:00;142;5;1370;30;660;92,96;2,14
204;04.01.2020 16:00:00;144;5;1157,56;172,44;532,56;85,21;12,97
205;04.01.2020 16:00:00;216;3;640;50;316;97,53;7,25
206;04.01.2020 16:00:00;238;4;1053,72;266,28;353,72;50,53;20,17
207;04.01.2020 16:00:00;257;4;1250;70;638;104,25;5,3
208;04.01.2020 16:00:00;271;1;398,44;101,56;127,44;47,03;20,31
209;04.01.2020 16:00:00;282;1;470;;299;174,85;
210;04.01.2020 16:00:00;298;3;539,6;0,4;270,56;100,56;0,07
211;04.01.2020 16:00:00;356;3;840;60;610,5;266,01;6,67
212;04.01.2020 16:00:00;364;4;1137,47;262,53;597,47;110,64;18,75
213;04.01.2020 16:00:00;380;5;1348,47;151,53;598,47;79,8;10,1
214;04.01.2020 16:00:00;381;2;570;30;364;176,7;5
215;04.01.2020 16:00:00;386;2;624,84;115,16;214,84;52,4;15,56
216;04.01.2020 16:00:00;464;5;1280;120;630;96,92;8,57
217;04.01.2020 16:00:00;472;1;300;;154,86;106,7;
218;04.01.2020 16:00:00;474;2;627,7;72,3;254,82;68,34;10,33
219;04.01.2020 16:00:00;476;3;810;90;353,34;77,37;10
220;04.01.2020 16:00:00;479;2;600;;300,28;100,19;
221;04.01.2020 16:00:00;481;17;4839,32;260,68;2492,3;106,19;5,11
222;04.01.2020 16:00:00;490;3,75;2712,52;137,48;1491,22;122,1;4,82
223;04.01.2020 16:00:00;495;8;5184,39;575,61;1664,39;47,28;9,99
224;04.01.2020 16:00:00;530;1;205;25;97;89,81;10,87
225;04.01.2020 16:00:00;564;7,25;3265,15;214,85;1639,7;100,88;6,17
226;04.01.2020 16:00:00;566;4;788;92;337,24;74,82;10,45
227;04.01.2020 16:00:00;581;1;550;;266,5;94;
228;04.01.2020 16:00:00;591;4;419,97;180,03;209,97;99,99;30,01
229;04.01.2020 16:00:00;616;1;326,72;83,28;82,72;33,9;20,31
230;04.01.2020 16:00:00;643;1;225;25;78;53,06;10
231;04.01.2020 16:00:00;645;1;230;30;90;64,29;11,54
232;04.01.2020 16:00:00;646;3;750;90;315;72,41;10,71
233;04.01.2020 16:00:00;653;6;1800;;912;102,7;
234;04.01.2020 16:00:00;687;2;400;;230,08;135,4;
235;04.01.2020 16:00:00;688;1;270;;147,28;120,01;
236;04.01.2020 16:00:00;706;5;766,32;33,68;332,67;76,71;4,21
237;04.01.2020 16:00:00;717;2;448,53;51,47;448,53;;10,29
238;04.01.2020 16:00:00;783;1;250;;125;100;
239;04.01.2020 16:00:00;816;2;560;140;226;67,66;20
240;04.01.2020 16:00:00;840;1;250;;58;30,21;
241;04.01.2020 16:00:00;888;1;1100;;-50;-4,35;
242;04.01.2020 16:00:00;899;1;315;35;315;;10
243;04.01.2020 16:00:00;965;3;629,68;70,32;284,68;82,52;10,05
244;04.01.2020 16:00:00;1019;5,5;3828,24;131,76;2095,74;120,97;3,33
245;04.01.2020 16:00:00;1030;4;720;80;328;83,67;10
246;04.01.2020 16:00:00;1032;7;1138,29;261,71;368,29;47,83;18,69
247;04.01.2020 16:00:00;1057;4;1053,72;266,28;429,72;68,87;20,17
248;04.01.2020 16:00:00;1136;5;1184,5;65,5;497;72,29;5,24
249;04.01.2020 16:00:00;1145;7,75;3695,72;334,28;1758,22;90,75;8,29
250;04.01.2020 16:00:00;1205;4,5;2459,57;60,43;1594,53;184,33;2,4
251;04.01.2020 16:00:00;1213;2;1401,25;38,75;771,25;122,42;2,69
252;04.01.2020 16:00:00;1217;3;521,76;18,24;279,27;115,17;3,38
253;04.01.2020 16:00:00;1238;1;250;31;135;117,39;11,03
254;04.01.2020 16:00:00;1326;1,25;864;36;432,75;100,35;4
255;04.01.2020 16:00:00;1390;1;310;170;31;11,11;35,42
256;04.01.2020 16:00:00;1394;1;303,6;76,4;90,6;42,54;20,11
257;04.01.2020 16:00:00;1434;7,5;3047,39;212,61;1637,39;116,13;6,52
258;04.01.2020 16:00:00;1460;1;350;;165;89,19;
259;04.01.2020 16:00:00;1471;3;830;130;344;70,78;13,54
260;04.01.2020 16:00:00;1494;1;232,3;27,7;97,3;72,07;10,65
261;04.01.2020 16:00:00;1498;1;185;25;85;85;11,9
262;04.01.2020 16:00:00;1501;1;700;;385;122,22;
263;04.01.2020 16:00:00;1509;2;500,38;59,62;247,04;97,51;10,65
264;04.01.2020 16:00:00;1511;1;300;;150;100;
265;04.01.2020 16:00:00;1517;1;600;;305;103,39;
266;04.01.2020 16:00:00;1561;3,75;1995,63;104,37;1120,76;128,11;4,97
267;04.01.2020 16:00:00;1562;1;315;35;115;57,5;10
268;04.01.2020 16:00:00;1594;1,75;1018,03;31,97;545,53;115,46;3,04
269;04.01.2020 16:00:00;1670;1;335,56;84,44;123,56;58,28;20,1
270;04.01.2020 16:00:00;1698;1;214,62;25,38;99,62;86,63;10,58
271;04.01.2020 16:00:00;1726;3;1050;;471;81,35;
272;04.01.2020 16:00:00;1733;2,25;1118,15;141,85;685,02;158,16;11,26
273;04.01.2020 16:00:00;1748;1;143,16;16,84;77,08;116,65;10,53
274;04.01.2020 16:00:00;1772;0,75;590;70;244,06;70,55;10,61
275;04.01.2020 16:00:00;1773;3;539,89;660,11;-99,11;-15,51;55,01
276;04.01.2020 16:00:00;1775;2;1699,56;220,44;635,16;59,67;11,48
277;04.01.2020 16:00:00;1776;6;1367,3;612,7;443,3;47,98;30,94
278;04.01.2020 16:00:00;1777;3;2198,58;201,42;985,23;81,2;8,39
279;04.01.2020 16:00:00;1778;6;1452,41;647,59;390,41;36,76;30,84
280;04.01.2020 16:00:00;1779;7,5;5713,85;886,15;2254,48;65,17;13,43
281;04.01.2020 16:00:00;1780;3;472,41;577,59;-58,59;-11,03;55,01
282;04.01.2020 16:00:00;1781;0,75;660;;314,06;90,78;
283;04.01.2020 16:00:00;1782;0,75;600;;296,66;97,8;
284;04.01.2020 16:00:00;1783;4;822,41;577,59;114,41;16,16;41,26
285;04.01.2020 16:00:00;1784;2;1715;45;792,5;85,91;2,56
286;04.01.2020 16:00:00;1785;1;1237,25;1512,75;-414,75;-25,11;55,01
287;04.01.2020 16:00:00;1786;1,5;1340,59;99,41;542,29;67,93;6,9
288;04.01.2020 16:00:00;1787;3;445,41;544,59;-16,59;-3,59;55,01
289;04.01.2020 16:00:00;1788;3;472,41;577,59;-58,59;-11,03;55,01
290;04.01.2020 16:00:00;1789;1,25;1055;45;478,43;82,98;4,09
291;04.01.2020 16:00:00;1793;1;386,13;43,87;143,13;58,9;10,2
292;04.01.2020 16:00:00;1796;1;359,52;90,48;106,52;42,1;20,11
293;04.01.2020 16:00:00;1797;3;1172,39;237,61;356,39;43,68;16,85
294;04.01.2020 16:00:00;1804;5;1400;;725;107,41;
295;04.01.2020 16:00:00;1805;1;223,55;56,45;88,55;65,59;20,16
296;04.01.2020 16:00:00;1807;6;1379,4;300,6;599,4;76,85;17,89
297;05.01.2020 16:00:00;131;1;270;30;124;84,93;10
298;05.01.2020 16:00:00;132;1;315;35;136;75,98;10
299;05.01.2020 16:00:00;138;1;315;35;147;87,5;10
300;05.01.2020 16:00:00;141;1;333;37;118;54,88;10
301;05.01.2020 16:00:00;142;1;280;;138;97,18;
302;05.01.2020 16:00:00;144;1;280;;155;124;
303;05.01.2020 16:00:00;177;1;1000;;432;76,06;
304;05.01.2020 16:00:00;209;1;293,62;126,38;58,62;24,94;30,09
305;05.01.2020 16:00:00;282;1;422,53;47,47;251,53;147,09;10,1
306;05.01.2020 16:00:00;296;5;860;40;390,95;83,35;4,44
307;05.01.2020 16:00:00;298;1;180;;90,32;100,71;
308;05.01.2020 16:00:00;310;7;4344,49;695,51;1999,49;85,27;13,8
309;05.01.2020 16:00:00;356;3;839,41;60,59;609,91;265,76;6,73
310;05.01.2020 16:00:00;364;1;314,04;35,96;179,04;132,62;10,27
311;05.01.2020 16:00:00;380;2;600;;300;100;
312;05.01.2020 16:00:00;381;1;285;15;182;176,7;5
313;05.01.2020 16:00:00;464;1;223,21;56,79;93,21;71,7;20,28
314;05.01.2020 16:00:00;474;1;350;;163,56;87,73;
315;05.01.2020 16:00:00;483;1;488,03;211,97;152,91;45,63;30,28
316;05.01.2020 16:00:00;490;4,75;3455,42;154,58;1908,44;123,37;4,28
317;05.01.2020 16:00:00;519;4;770;30;770;;3,75
318;05.01.2020 16:00:00;564;2,25;1011,82;68,18;507,37;100,58;6,31
319;05.01.2020 16:00:00;566;2;394,88;45,12;169,5;75,21;10,25
320;05.01.2020 16:00:00;581;1;384,51;165,49;101,01;35,63;30,09
321;05.01.2020 16:00:00;591;6;870;30;555;176,19;3,33
322;05.01.2020 16:00:00;601;1;250;;60;31,58;
323;05.01.2020 16:00:00;615;1;300;130;55;22,45;30,23
324;05.01.2020 16:00:00;646;1;280;;135;93,1;
325;05.01.2020 16:00:00;653;2;480;120;184;62,16;20
326;05.01.2020 16:00:00;688;4;916,65;163,35;425,77;86,74;15,13
327;05.01.2020 16:00:00;706;1;142,86;17,14;56,13;64,72;10,71
328;05.01.2020 16:00:00;843;1;220;;95;76;
329;05.01.2020 16:00:00;888;1;1100;;-50;-4,35;
330;05.01.2020 16:00:00;899;3;1015;35;1015;;3,33
331;05.01.2020 16:00:00;903;1;250;30;115;85,19;10,71
332;05.01.2020 16:00:00;1032;1;200;;90;81,82;
333;05.01.2020 16:00:00;1071;1;420;;184;77,97;
334;05.01.2020 16:00:00;1085;5,25;2246,57;153,43;1242,51;123,75;6,39
335;05.01.2020 16:00:00;1090;1;220;60;100;83,33;21,43
336;05.01.2020 16:00:00;1136;1;250;;112,5;81,82;
337;05.01.2020 16:00:00;1145;1,75;816,75;93,25;379,25;86,69;10,25
338;05.01.2020 16:00:00;1152;1;363,53;156,47;67,53;22,81;30,09
339;05.01.2020 16:00:00;1205;11;5877,38;282,62;3762,85;177,95;4,59
340;05.01.2020 16:00:00;1213;2,25;1563,39;56,61;854,64;120,58;3,49
341;05.01.2020 16:00:00;1238;3;700;50;355;102,9;6,67
342;05.01.2020 16:00:00;1295;1;518,92;131,08;126,92;32,38;20,17
343;05.01.2020 16:00:00;1318;8;1478,4;121,6;698,4;89,54;7,6
344;05.01.2020 16:00:00;1326;2,75;1860;120;911,25;96,05;6,06
345;05.01.2020 16:00:00;1397;1;675;75;260;62,65;10
346;05.01.2020 16:00:00;1474;2,25;1795,83;184,17;787,08;78,03;9,3
347;05.01.2020 16:00:00;1501;1;665;35;350;111,11;5
348;05.01.2020 16:00:00;1509;1;195,75;84,25;69,08;54,54;30,09
349;05.01.2020 16:00:00;1510;1;280;;150;115,38;
350;05.01.2020 16:00:00;1512;1;280;;153,33;121,05;
351;05.01.2020 16:00:00;1549;2;1380;220;580;72,5;13,75
352;05.01.2020 16:00:00;1561;3,75;2010;90;1135,12;129,75;4,29
353;05.01.2020 16:00:00;1569;1;400;;194,3;94,46;
354;05.01.2020 16:00:00;1582;1;960;240;175,7;22,4;20
355;05.01.2020 16:00:00;1590;2;664;56;272;69,39;7,78
356;05.01.2020 16:00:00;1607;1;328,58;141,42;63,58;23,99;30,09
357;05.01.2020 16:00:00;1620;1;251,67;28,33;111,67;79,76;10,12
358;05.01.2020 16:00:00;1633;1,25;1289,42;210,58;620,67;92,81;14,04
359;05.01.2020 16:00:00;1637;1;314,6;135,4;64,6;25,84;30,09
360;05.01.2020 16:00:00;1691;1;279,43;70,57;102,43;57,87;20,16
361;05.01.2020 16:00:00;1704;1;750;;315;72,41;
362;05.01.2020 16:00:00;1733;1,5;755;85;466,25;161,47;10,12
363;05.01.2020 16:00:00;1739;0,5;479,22;120,78;179,22;59,74;20,13
364;05.01.2020 16:00:00;1745;1;161,53;18,47;86,6;115,57;10,26
365;05.01.2020 16:00:00;1747;1;280;;128,37;84,66;
366;05.01.2020 16:00:00;1748;1;143,59;16,41;77,51;117,3;10,26
367;05.01.2020 16:00:00;1760;1;500;;195,58;64,25;
368;05.01.2020 16:00:00;1769;8,75;4976,15;273,85;2578,65;107,56;5,22
369;05.01.2020 16:00:00;1772;1;767,16;112,84;305,91;66,32;12,82
370;05.01.2020 16:00:00;1775;0,75;645,81;74,19;246,66;61,8;10,3
371;05.01.2020 16:00:00;1777;1,25;980;20;474,43;93,84;2
372;05.01.2020 16:00:00;1779;0,25;220;;104,69;90,79;
373;05.01.2020 16:00:00;1781;1,75;1406,96;133,04;599,78;74,31;8,64
374;05.01.2020 16:00:00;1782;1,25;1000;;494,44;97,8;
375;05.01.2020 16:00:00;1784;0,25;220;;104,69;90,79;
376;05.01.2020 16:00:00;1786;1,25;1029,13;170,87;363,88;54,7;14,24
377;05.01.2020 16:00:00;1790;2;1135;205;442;63,78;15,3
378;05.01.2020 16:00:00;1791;2;1360;340;460;51,11;20
379;05.01.2020 16:00:00;1797;1;328,43;141,57;56,43;20,75;30,12
380;05.01.2020 16:00:00;1806;4;945;175;405;75;15,63
381;05.01.2020 16:00:00;1807;2;503,33;56,67;243,33;93,59;10,12
